GEOID,2024 Median Household Income
210039204.0,56252
210039205.0,52888
210039206.0,76243
210350101.0,53930
210350102.0,64870
210350103.01,19602
210350103.03,23951
210350103.04,52307
210350104.0,35401
210350105.0,40604
210350106.01,55617
210350106.02,96315
210350107.0,60134
210350108.0,43822
210472013.01,97269
210472013.03,59105
210472013.04,51183
210472014.0,101149
210472015.01,53711
210472015.02,52437
210472015.03,42559
210479801.0,0
210539702.02,38915
210539702.03,41843
210539702.04,38013
210579502.0,43358
210759601.0,36737
210830202.0,59484
210830203.01,37134
210830204.0,64259
210830205.0,56747
210830209.0,58598
211059701.0,55149
211419606.0,57350
211719302.0,39946
211719303.0,52742
211719304.0,45444
212139701.0,66726
212139704.01,68163
212139704.02,40164
212199503.0,48166
212199504.0,88529
212219703.02,57253
212219801.0,0
212219802.0,0
212319204.02,35837
212319207.01,47476
470039501.0,82864
470039502.01,86805
470039502.02,66508
470039503.0,65487
470039504.01,78960
470039504.02,53429
470039505.0,56632
470039506.0,60180
470039507.0,79705
470039508.0,82606
470059630.0,53840
470059631.0,54789
470059632.0,44389
470059633.0,49953
470059634.0,45308
470079530.0,41317
470079531.01,92584
470079531.02,47707
470079532.0,62177
470110107.0,42358
470110110.0,59915
470110113.01,74829
470110113.02,74911
470110114.02,58924
470110114.03,80042
470110114.04,94652
470110115.01,75219
470110115.02,84699
470159601.0,68892
470159602.01,51467
470159602.02,66063
470159603.0,65789
470179620.0,45024
470179621.01,50632
470179621.02,47450
470179622.01,38364
470179622.02,76401
470179623.0,57262
470179624.0,55679
470179625.0,49820
470179801.0,0
470210701.02,85916
470210701.03,77919
470210701.04,70025
470210702.01,100613
470210702.02,76251
470210702.03,80120
470210703.0,74494
470210704.01,88498
470210704.02,100345
470239701.01,80464
470239701.02,60514
470239702.0,54081
470239703.01,59735
470239703.02,56518
470279550.0,35917
470279551.0,45919
470319701.0,56839
470319702.01,53082
470319702.02,56614
470319703.0,70810
470319704.01,78605
470319704.02,63921
470319705.01,55889
470319705.02,67348
470319706.0,56467
470319707.0,58127
470319708.01,61817
470319708.03,71607
470319708.04,82536
470319709.0,33839
470319710.01,68105
470319710.02,55054
470319801.0,0
470339610.0,75803
470359701.01,70129
470359701.03,69351
470359701.04,62832
470359702.01,63395
470359702.02,79471
470359703.01,60570
470359703.02,53903
470359704.01,40610
470359704.02,62236
470359705.01,55831
470359705.02,40811
470359706.01,76453
470359706.02,55984
470359706.03,57671
470359707.01,60956
470359707.02,55942
470359708.0,60613
470370101.03,81130
470370101.04,102011
470370101.05,72207
470370101.06,83463
470370102.01,75709
470370102.02,98317
470370103.01,62991
470370103.02,60550
470370103.03,54618
470370104.01,51350
470370104.03,35988
470370104.04,62670
470370105.01,61208
470370105.02,76835
470370106.01,76574
470370106.02,58927
470370107.01,58799
470370107.02,39276
470370108.01,62452
470370108.02,56922
470370109.01,68550
470370109.03,53432
470370109.04,39175
470370110.01,55504
470370110.02,63557
470370111.0,95036
470370112.0,89590
470370113.0,69979
470370114.0,88398
470370115.0,70996
470370116.0,93561
470370117.0,90197
470370118.0,77244
470370119.0,61552
470370121.0,160921
470370122.0,134507
470370126.0,72881
470370127.01,45321
470370127.02,59767
470370128.01,43811
470370128.02,61563
470370130.01,118010
470370130.02,0
470370131.0,98003
470370132.01,61116
470370132.02,82863
470370133.0,91913
470370134.0,105484
470370135.0,102299
470370136.0,36864
470370137.01,55363
470370137.02,57979
470370138.0,50175
