GEOID,2024 Senior Population
210039204.0,760
210039205.0,290
210039206.0,587
210350101.0,1039
210350102.0,915
210350103.01,61
210350103.03,251
210350103.04,620
210350104.0,323
210350105.0,650
210350106.01,686
210350106.02,1168
210350107.0,748
210350108.0,1004
210472013.01,535
210472013.03,159
210472013.04,176
210472014.0,453
210472015.01,11
210472015.02,11
210472015.03,0
210479801.0,0
210539702.02,721
210539702.03,344
210539702.04,266
210579502.0,595
210759601.0,857
210830202.0,942
210830203.01,895
210830204.0,561
210830205.0,810
210830209.0,575
211059701.0,1199
211419606.0,559
211719302.0,448
211719303.0,575
211719304.0,1018
212139701.0,456
212139704.01,848
212139704.02,473
212199503.0,419
212199504.0,224
212219703.02,608
212219801.0,0
212219802.0,0
212319204.02,328
212319207.01,225
470039501.0,816
470039502.01,561
470039502.02,717
470039503.0,816
470039504.01,899
470039504.02,1338
470039505.0,1167
470039506.0,1123
470039507.0,618
470039508.0,756
470059630.0,910
470059631.0,818
470059632.0,545
470059633.0,803
470059634.0,914
470079530.0,869
470079531.01,433
470079531.02,909
470079532.0,913
470110107.0,648
470110110.0,1035
470110113.01,1257
470110113.02,591
470110114.02,525
470110114.03,1083
470110114.04,1095
470110115.01,1145
470110115.02,776
470159601.0,905
470159602.01,538
470159602.02,962
470159603.0,688
470179620.0,993
470179621.01,754
470179621.02,905
470179622.01,637
470179622.02,969
470179623.0,1015
470179624.0,595
470179625.0,479
470179801.0,0
470210701.02,898
470210701.03,649
470210701.04,1257
470210702.01,805
470210702.02,943
470210702.03,697
470210703.0,716
470210704.01,571
470210704.02,1428
470239701.01,500
470239701.02,763
470239702.0,812
470239703.01,410
470239703.02,818
470279550.0,1304
470279551.0,637
470319701.0,815
470319702.01,723
470319702.02,846
470319703.0,394
470319704.01,469
470319704.02,945
470319705.01,288
470319705.02,956
470319706.0,952
470319707.0,864
470319708.01,850
470319708.03,689
470319708.04,1015
470319709.0,605
470319710.01,411
470319710.02,1134
470319801.0,0
470339610.0,489
470359701.01,3657
470359701.03,1789
470359701.04,2360
470359702.01,1445
470359702.02,505
470359703.01,846
470359703.02,1416
470359704.01,922
470359704.02,776
470359705.01,743
470359705.02,914
470359706.01,1497
470359706.02,1388
470359706.03,600
470359707.01,1026
470359707.02,1493
470359708.0,1065
470370101.03,660
470370101.04,797
470370101.05,1187
470370101.06,591
470370102.01,888
470370102.02,1080
470370103.01,896
470370103.02,306
470370103.03,866
470370104.01,739
470370104.03,483
470370104.04,250
470370105.01,1367
470370105.02,968
470370106.01,855
470370106.02,461
470370107.01,559
470370107.02,699
470370108.01,995
470370108.02,892
470370109.01,574
470370109.03,676
470370109.04,458
470370110.01,822
470370110.02,347
470370111.0,660
470370112.0,434
470370113.0,478
470370114.0,546
470370115.0,547
470370116.0,700
470370117.0,451
470370118.0,239
470370119.0,204
470370121.0,256
470370122.0,213
470370126.0,144
470370127.01,950
470370127.02,589
470370128.01,1061
470370128.02,787
470370130.01,80
470370130.02,62
470370131.0,524
470370132.01,604
470370132.02,412
470370133.0,346
470370134.0,428
470370135.0,132
470370136.0,470
470370137.01,548
470370137.02,456
470370138.0,234
470370139.0,225
470370142.0,207
470370143.0,258
470370144.0,156
470370148.0,51
470370151.0,747
470370152.0,495
470370153.0,1443
470370154.01,1389
470370154.02,780
470370154.04,844
470370154.05,711
470370155.01,589
470370155.02,649
470370156.09,781
470370156.13,430
470370156.14,424
470370156.15,424
470370156.17,543
470370156.18,916
470370156.19,833
470370156.2,889
470370156.22,600
470370156.23,809
470370156.24,491
470370156.25,741
470370156.26,522
470370156.27,367
470370156.28,406
470370156.29,459
470370156.3,380
470370156.32,396
470370156.33,1146
470370156.34,1137
470370156.35,329
470370156.36,345
470370156.37,385
470370157.0,229
470370158.04,316
470370158.05,339
470370158.06,524
470370159.0,626
470370160.0,240
470370161.0,321
470370162.0,640
470370163.0,237
470370164.0,341
470370165.0,11
470370166.0,341
470370167.0,1347
470370168.0,373
470370169.0,589
470370170.0,276
470370171.0,194
470370172.0,260
470370173.0,326
470370174.01,243
470370174.02,471
470370175.0,425
470370177.01,374
470370177.02,743
470370178.0,748
470370179.01,1564
470370179.02,1437
470370180.0,1380
470370181.01,408
470370181.02,1078
470370182.01,675
470370182.03,328
470370182.04,431
470370182.05,492
470370183.02,531
470370183.03,594
470370183.04,815
470370184.04,1154
470370184.05,1128
470370184.07,852
470370184.08,686
470370184.09,1620
470370184.1,662
470370184.11,356
470370184.12,782
470370185.0,1141
470370186.01,532
470370186.02,1029
470370187.0,961
470370188.01,958
470370188.03,790
470370188.04,1200
470370189.01,375
470370189.02,367
470370189.04,356
470370189.05,212
470370190.03,344
470370190.04,382
470370190.07,369
470370190.08,528
470370191.05,800
470370191.06,396
470370191.08,250
470370191.09,565
470370191.1,441
470370191.11,329
470370191.12,710
470370191.15,718
470370191.16,849
470370191.17,763
470370191.18,279
470370191.19,1527
470370191.2,373
470370191.21,372
470370192.0,285
470370193.0,296
470370194.01,287
470370194.02,157
470370195.01,88
470370195.02,283
470370195.03,446
470370196.0,490
470379801.0,1
470379802.0,0
470399550.01,541
470399550.03,608
470399550.04,527
470399551.01,477
470399551.02,860
470419201.01,827
470419201.02,950
470419202.01,1026
470419202.02,444
470419203.0,1212
470430601.0,913
470430602.01,725
470430602.02,616
470430603.0,1278
470430604.01,743
470430604.02,1292
470430605.01,1532
470430605.02,906
470430606.01,675
470430606.02,1160
470430607.0,975
470499650.0,1143
470499651.0,1037
470499652.01,578
470499652.02,866
470499653.0,1266
470519601.0,836
470519602.01,1720
470519602.02,1214
470519603.0,829
470519604.01,816
470519604.02,1096
470519605.0,1059
470519606.0,1164
470519607.0,725
470519608.0,600
470539662.0,809
470539663.0,564
470539664.0,982
470539665.01,508
470539665.02,841
470539666.0,393
470539667.01,593
470539667.02,654
470539669.0,497
470539670.01,874
470539670.02,831
470539671.0,778
470539674.0,723
470539801.0,0
470559201.0,748
470559202.0,933
470559203.01,947
470559203.02,443
470559204.0,824
470559205.0,1045
470559206.0,623
470559207.0,450
470559208.0,785
470619550.0,600
470619551.0,439
470619552.0,909
470619553.0,1132
470650101.01,1473
470650101.03,862
470650101.04,942
470650102.01,962
470650102.02,1184
470650103.03,570
