GEOID,2024 Senior Population
210039204.00,1421
210039205.00,474
210039206.00,1096
210350101.00,1750
210350102.00,1576
210350103.01,83
210350103.03,459
210350103.04,970
210350104.00,588
210350105.00,1033
210350106.01,1014
210350106.02,1610
210350107.00,1219
210350108.00,1594
210472013.01,884
210472013.03,342
210472013.04,441
210472014.00,800
210472015.01,40
210472015.02,41
210472015.03,8
210479801.00,0
210539702.02,1182
210539702.03,583
210539702.04,493
210579502.00,939
210759601.00,1391
210830202.00,1392
210830203.01,1462
210830204.00,940
210830205.00,1310
210830209.00,1013
211059701.00,1836
211419606.00,982
211719302.00,760
211719303.00,997
211719304.00,1601
212139701.00,825
212139704.01,1459
212139704.02,818
212199503.00,726
212199504.00,391
212219703.02,940
212219801.00,0
212219802.00,0
212319204.02,555
212319207.01,379
470039501.00,1407
470039502.01,1035
470039502.02,1297
470039503.00,1491
470039504.01,1657
470039504.02,2318
470039505.00,1884
470039506.00,1992
470039507.00,1091
470039508.00,1213
470059630.00,1498
470059631.00,1314
470059632.00,920
470059633.00,1238
470059634.00,1539
470079530.00,1609
470079531.01,717
470079531.02,1426
470079532.00,1612
470110107.00,1185
470110110.00,1742
470110113.01,2127
470110113.02,1027
470110114.02,901
470110114.03,1704
470110114.04,1758
470110115.01,1981
470110115.02,1318
470159601.00,1566
470159602.01,789
470159602.02,1714
470159603.00,1187
470179620.00,1604
470179621.01,1211
470179621.02,1393
470179622.01,1054
470179622.02,1414
470179623.00,1748
470179624.00,986
470179625.00,823
470179801.00,0
470210701.02,1553
470210701.03,1179
470210701.04,2179
470210702.01,1575
470210702.02,1769
470210702.03,1241
470210703.00,1223
470210704.01,985
470210704.02,2533
470239701.01,844
470239701.02,1314
470239702.00,1272
470239703.01,658
470239703.02,1385
470279550.00,2141
470279551.00,1020
470319701.00,1402
470319702.01,1302
470319702.02,1446
470319703.00,739
470319704.01,801
470319704.02,1628
470319705.01,465
470319705.02,1629
470319706.00,1539
470319707.00,1517
470319708.01,1399
470319708.03,1146
470319708.04,1529
470319709.00,1129
470319710.01,561
470319710.02,1780
470319801.00,0
470339610.00,838
470359701.01,4225
470359701.03,2291
470359701.04,2873
470359702.01,2109
470359702.02,821
470359703.01,1388
470359703.02,2196
470359704.01,1533
470359704.02,1130
470359705.01,1112
470359705.02,1361
470359706.01,2200
470359706.02,1927
470359706.03,951
470359707.01,1426
470359707.02,2360
470359708.00,1740
470370101.03,1126
470370101.04,1308
470370101.05,1749
470370101.06,1051
470370102.01,1478
470370102.02,1694
470370103.01,1454
470370103.02,557
470370103.03,1489
470370104.01,1325
470370104.03,930
470370104.04,525
470370105.01,2221
470370105.02,1711
470370106.01,1500
470370106.02,883
470370107.01,1143
470370107.02,1099
470370108.01,1725
470370108.02,1363
470370109.01,994
470370109.03,1425
470370109.04,795
470370110.01,1511
470370110.02,617
470370111.00,1122
470370112.00,821
470370113.00,992
470370114.00,981
470370115.00,918
470370116.00,1248
470370117.00,920
470370118.00,466
470370119.00,431
470370121.00,516
470370122.00,422
470370126.00,290
470370127.01,1638
470370127.02,970
470370128.01,1695
470370128.02,1321
470370130.01,151
470370130.02,236
470370131.00,876
470370132.01,954
470370132.02,726
470370133.00,723
470370134.00,813
470370135.00,272
470370136.00,1033
470370137.01,980
470370137.02,760
470370138.00,426
470370139.00,451
470370142.00,467
470370143.00,520
470370144.00,364
470370148.00,136
470370151.00,1317
470370152.00,838
470370153.00,2317
470370154.01,2138
470370154.02,1414
470370154.04,1158
470370154.05,1279
470370155.01,1025
470370155.02,1143
470370156.09,1494
470370156.13,900
470370156.14,868
470370156.15,928
470370156.17,875
470370156.18,1609
470370156.19,1492
470370156.20,1792
470370156.22,1186
470370156.23,1396
470370156.24,965
470370156.25,1450
470370156.26,1245
470370156.27,711
470370156.28,693
