GEOID,2024-2029 Growth Rate: Population
210039204.0,0.0009
210039205.0,0.0022
210039206.0,0.0044
210350101.0,0.0001
210350102.0,-0.0013
210350103.01,0.0003
210350103.03,0.0019
210350103.04,0.013300000000000001
210350104.0,0.008199999999999999
210350105.0,-0.0009
210350106.01,-0.0004
210350106.02,0.0002
210350107.0,0.0048
210350108.0,0.0014000000000000002
210472013.01,-0.0001
210472013.03,-0.0023
210472013.04,0.0040999999999999995
210472014.0,-0.004699999999999999
210472015.01,0.0012
210472015.02,-0.0043
210472015.03,-0.0001
210479801.0,0.0
210539702.02,-0.005
210539702.03,-0.0066
210539702.04,-0.006500000000000001
210579502.0,-0.0055000000000000005
210759601.0,-0.0076
210830202.0,-0.0025
210830203.01,-0.0032
210830204.0,-0.0003
210830205.0,-0.0011
210830209.0,-0.002
211059701.0,-0.005699999999999999
211419606.0,-0.0017000000000000001
211719302.0,-0.0031
211719303.0,0.0002
211719304.0,-0.0003
212139701.0,0.0086
212139704.01,0.0187
212139704.02,-0.0019
212199503.0,0.0013
212199504.0,0.0023
212219703.02,0.0023
212219801.0,0.0
212219802.0,0.0
212319204.02,-0.0040999999999999995
212319207.01,-0.0044
470039501.0,0.0095
470039502.01,0.006
470039502.02,0.005
470039503.0,0.005600000000000001
470039504.01,0.0091
470039504.02,0.0166
470039505.0,0.005
470039506.0,0.008100000000000001
470039507.0,0.008
470039508.0,0.0059
470059630.0,0.0007000000000000001
470059631.0,-0.0026
470059632.0,0.0036
470059633.0,-0.0038
470059634.0,-0.0024
470079530.0,0.005600000000000001
470079531.01,0.006
470079531.02,0.0045000000000000005
470079532.0,0.0066
470110107.0,0.0011
470110110.0,0.0059
470110113.01,0.008100000000000001
470110113.02,0.0026
470110114.02,0.001
470110114.03,0.0092
470110114.04,0.0137
470110115.01,0.0044
470110115.02,0.0101
470159601.0,0.0077
470159602.01,-0.0006
470159602.02,0.0084
470159603.0,-0.0014000000000000002
470179620.0,-0.0009
470179621.01,-0.0029
470179621.02,0.0
470179622.01,-0.0025
470179622.02,-0.0016
470179623.0,0.0024
470179624.0,0.0005
470179625.0,-0.0028000000000000004
470179801.0,0.0
470210701.02,0.0016
470210701.03,-0.003
470210701.04,0.0012
470210702.01,0.0203
470210702.02,0.0084
470210702.03,0.0073
470210703.0,0.0025
470210704.01,0.0072
470210704.02,-0.0034000000000000002
470239701.01,0.0096
470239701.02,-0.0012
470239702.0,-0.0005
470239703.01,-0.001
470239703.02,-0.0012
470279550.0,0.0002
