GEOID,2029 Total Population
210039204.0,4640
210039205.0,1448
210039206.0,3512
210350101.0,4326
210350102.0,4470
210350103.01,2332
210350103.03,3125
210350103.04,4164
210350104.0,2639
210350105.0,3061
210350106.01,3130
210350106.02,4062
210350107.0,3373
210350108.0,3301
210472013.01,3263
210472013.03,4107
210472013.04,3861
210472014.0,3009
210472015.01,5261
210472015.02,3679
210472015.03,4660
210479801.0,0
210539702.02,3171
210539702.03,1436
210539702.04,1470
210579502.0,2031
210759601.0,3309
210830202.0,4274
210830203.01,4565
210830204.0,2707
210830205.0,3683
210830209.0,2943
211059701.0,4293
211419606.0,2766
211719302.0,2163
211719303.0,2836
211719304.0,4330
212139701.0,2573
212139704.01,5526
212139704.02,2578
212199503.0,2443
212199504.0,1508
212219703.02,2056
212219801.0,1
212219802.0,2
212319204.02,1498
212319207.01,977
470039501.0,4578
470039502.01,3603
470039502.02,4229
470039503.0,4199
470039504.01,7137
470039504.02,9510
470039505.0,7017
470039506.0,8533
470039507.0,3335
470039508.0,3171
470059630.0,3237
470059631.0,2875
470059632.0,2177
470059633.0,3638
470059634.0,3764
470079530.0,4039
470079531.01,1808
470079531.02,3961
470079532.0,5446
470110107.0,5282
470110110.0,6291
470110113.01,5522
470110113.02,2618
470110114.02,3214
470110114.03,4819
470110114.04,5118
470110115.01,5840
470110115.02,4157
470159601.0,4450
470159602.01,2415
470159602.02,4981
470159603.0,3451
470179620.0,4218
470179621.01,3268
470179621.02,3835
470179622.01,3134
470179622.02,4509
470179623.0,4526
470179624.0,2623
470179625.0,2112
470179801.0,0
470210701.02,4152
470210701.03,3398
470210701.04,6489
470210702.01,5966
470210702.02,6070
470210702.03,4020
470210703.0,3930
470210704.01,2655
470210704.02,6788
470239701.01,2967
470239701.02,3521
470239702.0,5571
470239703.01,1657
470239703.02,3968
470279550.0,4853
470279551.0,2642
470319701.0,4207
470319702.01,3698
470319702.02,4682
470319703.0,2073
470319704.01,2108
470319704.02,5927
470319705.01,1287
470319705.02,6188
470319706.0,4568
470319707.0,5006
470319708.01,4440
470319708.03,3254
470319708.04,4276
470319709.0,4645
470319710.01,1374
470319710.02,5295
470319801.0,2
470339610.0,2159
470359701.01,5162
470359701.03,3310
470359701.04,3812
470359702.01,4591
470359702.02,2313
470359703.01,3739
470359703.02,5232
470359704.01,4888
470359704.02,2468
470359705.01,2865
470359705.02,4434
470359706.01,5587
470359706.02,3999
470359706.03,2268
470359707.01,2789
470359707.02,5429
470359708.0,4162
470370101.03,2751
470370101.04,3126
470370101.05,4694
470370101.06,3890
470370102.01,4608
470370102.02,4029
470370103.01,4469
470370103.02,2660
470370103.03,6342
470370104.01,6028
470370104.03,3769
470370104.04,2384
470370105.01,6493
470370105.02,5450
470370106.01,5482
470370106.02,3800
470370107.01,4747
470370107.02,3416
470370108.01,6880
470370108.02,4522
470370109.01,3283
470370109.03,7501
470370109.04,3020
470370110.01,7636
470370110.02,2686
470370111.0,4130
470370112.0,4719
470370113.0,7829
470370114.0,5730
470370115.0,3779
470370116.0,5830
470370117.0,6109
470370118.0,2958
470370119.0,3176
470370121.0,2628
470370122.0,2191
470370126.0,3190
470370127.01,7101
470370127.02,4131
470370128.01,5261
470370128.02,4214
470370130.01,1959
470370130.02,1312
470370131.0,2367
470370132.01,3237
470370132.02,3969
470370133.0,6787
470370134.0,4442
470370135.0,3187
470370136.0,6998
470370137.01,3955
470370137.02,6861
470370138.0,1410
470370139.0,1853
470370142.0,4242
470370143.0,1964
470370144.0,4744
470370148.0,1568
470370151.0,4640
470370152.0,2708
470370153.0,7129
470370154.01,5289
470370154.02,5836
470370154.04,3084
470370154.05,4734
470370155.01,3663
470370155.02,4817
470370156.09,7026
470370156.13,5369
470370156.14,4432
470370156.15,5195
470370156.17,2447
470370156.18,6703
470370156.19,5582
470370156.2,8311
470370156.22,4361
470370156.23,6078
470370156.24,4788
470370156.25,5708
470370156.26,7483
470370156.27,4295
470370156.28,4470
470370156.29,7510
470370156.3,6780
470370156.32,4346
470370156.33,5721
470370156.34,16584
470370156.35,2589
470370156.36,3727
470370156.37,4390
470370157.0,1629
470370158.04,4356
470370158.05,3595
470370158.06,5802
470370159.0,3643
470370160.0,2998
470370161.0,6263
470370162.0,4941
470370163.0,3166
470370164.0,5167
470370165.0,4681
470370166.0,3523
470370167.0,5669
470370168.0,4789
470370169.0,4779
470370170.0,4469
470370171.0,4220
470370172.0,3460
470370173.0,3301
470370174.01,2320
470370174.02,6150
470370175.0,2785
470370177.01,2523
470370177.02,5129
470370178.0,5988
470370179.01,5673
470370179.02,4822
470370180.0,5068
470370181.01,5316
470370181.02,3384
470370182.01,3110
470370182.03,1447
470370182.04,3893
470370182.05,3473
470370183.02,3424
470370183.03,6104
470370183.04,4328
470370184.04,5366
470370184.05,4920
470370184.07,5028
470370184.08,3683
470370184.09,4195
470370184.1,3719
470370184.11,3968
470370184.12,4526
470370185.0,5141
470370186.01,2349
470370186.02,4410
470370187.0,3743
470370188.01,5744
470370188.03,4255
470370188.04,5425
470370189.01,3384
470370189.02,2601
470370189.04,4047
470370189.05,3708
470370190.03,4498
470370190.04,5308
470370190.07,2656
470370190.08,6350
470370191.05,7716
470370191.06,4262
470370191.08,3698
470370191.09,5534
470370191.1,3847
470370191.11,4532
470370191.12,8510
470370191.15,3769
470370191.16,8145
470370191.17,12610
470370191.18,5782
470370191.19,10832
470370191.2,3274
470370191.21,4778
470370192.0,3578
470370193.0,5256
470370194.01,5512
470370194.02,6547
470370195.01,6410
470370195.02,10942
470370195.03,8883
470370196.0,3804
470379801.0,5
470379802.0,2
470399550.01,1814
470399550.03,2657
470399550.04,1942
470399551.01,1712
470399551.02,3246
470419201.01,2624
470419201.02,4807
470419202.01,6034
470419202.02,2393
470419203.0,5991
470430601.0,4936
470430602.01,4241
470430602.02,3728
470430603.0,7415
470430604.01,3553
470430604.02,7631
470430605.01,6809
470430605.02,3665
470430606.01,4387
470430606.02,7802
470430607.0,4994
470499650.0,3842
470499651.0,4216
470499652.01,2603
470499652.02,3288
470499653.0,5927
470519601.0,3733
470519602.01,7182
470519602.02,5779
470519603.0,3503
470519604.01,3592
470519604.02,5432
470519605.0,4097
470519606.0,5428
470519607.0,3965
470519608.0,3028
470539662.0,3407
470539663.0,2531
470539664.0,5461
470539665.01,2482
470539665.02,3601
470539666.0,2144
470539667.01,2525
470539667.02,3149
470539669.0,2195
470539670.01,3982
470539670.02,3819
470539671.0,7804
470539674.0,3272
470539801.0,2
470559201.0,3519
470559202.0,5257
470559203.01,5002
470559203.02,1851
470559204.0,3023
470559205.0,4718
470559206.0,2895
470559207.0,1741
470559208.0,3116
470619550.0,2596
470619551.0,1680
470619552.0,4357
470619553.0,5222
470650101.01,6242
470650101.03,4284
470650101.04,4070
470650102.01,4295
470650102.02,5216
470650103.03,3734
470650103.04,5543
470650103.05,3501
470650103.06,3874
470650103.08,3163
470650103.09,2833
470650104.11,7972
470650104.12,5169
470650104.13,3889
470650104.31,8261
470650104.32,8691
470650104.33,5296
470650104.34,2517
470650104.35,6170
470650105.01,6483
470650105.02,3203
470650106.0,3196
470650107.0,3041
470650108.0,3985
470650109.02,949
470650109.04,2508
470650109.05,4811
470650110.01,2348
470650110.03,4454
470650110.04,4633
470650111.0,6413
470650112.05,9414
470650112.06,5212
470650114.02,5695
470650114.11,4359
470650114.13,8449
470650114.47,9094
470650121.0,6512
470659802.0,0
470699501.0,3362
470699504.0,4983
470699505.0,4293
470719201.0,4469
470719202.0,4714
470719203.0,4065
470719204.01,1941
470719204.02,3211
470719205.01,3858
470719205.02,1539
470719206.0,3329
470779750.0,2721
470779751.0,3308
470779752.0,5788
470779753.01,3502
470779753.02,3990
470779754.0,4517
470779755.0,3927
470799690.01,2446
470799690.02,2100
470799691.0,2867
470799692.0,1673
470799693.0,3215
470799694.0,1945
470799695.01,1956
470799695.02,3804
470799696.01,2967
470799696.02,4633
470799697.0,2296
470799698.0,2304
470819501.0,5717
470819502.01,3918
470819502.02,3743
470819503.01,2887
470819503.02,4879
470819504.0,2382
470819505.0,2576
470831201.0,3264
470831202.0,2083
470831203.0,2927
470851301.0,5862
470851302.0,2105
470851303.0,5684
470851304.0,2835
470851305.0,2821
470879601.0,2118
470879602.0,2326
470879603.0,5687
470879604.0,1851
470999601.0,5834
470999602.0,2642
470999603.0,6204
470999604.01,5965
470999604.02,4557
470999605.01,4742
470999605.02,4655
470999606.0,2181
470999607.0,4009
470999608.0,3952
470999609.0,2104
471019701.0,5487
471019702.0,8072
471039750.0,1801
471039751.0,2410
471039752.0,2007
471039753.0,6811
471039754.0,4166
471039755.0,5763
471039757.0,3372
471099301.0,4541
471099302.0,2116
471099303.0,2760
471099304.0,2116
471099305.01,2396
471099305.02,5123
471099306.0,3624
471099307.0,3161
471119701.0,5529
471119702.0,7234
471119703.01,5030
471119703.02,4754
471119704.0,5554
471130001.0,4217
471130002.0,6071
471130003.0,4016
471130004.0,3498
471130005.0,3796
471130006.0,1820
471130007.0,2362
471130008.0,2445
471130009.0,2160
471130010.0,1853
471130011.0,997
471130013.0,5728
471130014.01,1942
471130014.02,2224
471130015.01,4594
471130015.02,5587
471130016.03,2271
471130016.04,2825
471130016.05,2961
471130016.07,5999
471130016.08,2372
471130016.09,1988
471130016.1,7691
471130016.11,3585
471130016.12,7559
471130017.0,1455
471130018.0,2871
471130019.0,3799
471150501.01,3484
471150501.02,5949
471150502.01,4430
471150502.03,2547
471150502.04,4453
471150503.02,3264
471179550.0,10670
471179551.0,6211
471179552.0,7747
471179553.0,4301
471179554.0,4270
471179555.0,5349
471190101.0,3823
471190102.01,14051
471190102.03,7860
471190102.04,13491
471190102.05,4736
471190103.01,10187
471190103.02,3033
471190104.01,4668
471190104.02,4533
471190105.0,5583
471190106.0,5795
471190107.0,5031
471190108.01,3821
471190108.02,9525
471190109.0,3476
471190110.01,3222
471190110.03,2704
471190110.04,4287
471190111.01,5319
471190111.02,3313
471190112.0,7265
471219602.0,5381
471219603.0,4713
471251001.0,1840
471251002.0,2137
471251003.0,6528
471251005.0,5774
471251006.01,2604
471251006.02,3144
471251008.0,3665
471251009.0,3027
471251010.01,4928
471251010.02,5006
471251011.01,3427
471251011.02,12351
471251011.03,3078
471251012.01,2898
471251012.02,5594
471251013.04,8567
471251013.05,8521
471251013.06,7298
471251013.07,3226
471251013.08,4658
471251013.09,9171
471251014.0,7561
471251015.01,4147
471251015.02,4832
471251016.0,6901
471251017.01,3931
471251017.02,6416
471251018.03,10604
471251018.05,4366
471251018.06,9119
471251018.07,4495
471251018.08,6014
471251019.02,3385
471251019.04,9505
471251019.05,6654
471251019.06,6897
471251020.01,8091
471251020.03,9693
471251020.04,7889
471251020.05,8968
471251020.07,2948
471251020.08,9458
471251020.09,7443
471251020.1,6300
471251021.0,6043
471259801.0,329
471279301.0,4209
471279302.0,2719
471291101.0,3544
471291102.0,3598
471319650.0,3844
471339501.0,1840
471339502.0,1676
471339503.01,4502
471339503.02,3106
471339504.0,2223
471339505.01,4749
471339505.02,2419
471339506.0,3023
471359301.0,3584
471359302.01,2641
471359302.02,2684
471379251.01,3122
471379251.02,1940
471410001.0,6885
471410002.01,6326
471410002.02,5366
471410003.01,3290
471410003.03,2676
471410003.04,4768
471410003.05,2730
471410004.0,4487
471410005.0,2314
471410006.0,4550
471410007.0,3928
471410008.0,6653
471410009.0,7729
471410010.0,4192
471410011.0,8671
471410012.01,6229
471410012.02,4377
471410013.0,2258
471439750.0,5233
471439751.0,5091
471439752.0,6989
471439753.0,6226
471439754.01,7190
471439754.02,3858
471470801.01,4568
471470801.03,10408
471470801.04,8319
471470802.0,6596
471470803.01,3853
471470803.02,3417
471470804.01,5482
471470804.02,5744
471470805.0,5558
471470806.03,5127
471470806.04,4369
471470806.05,3079
471470806.06,6404
471470807.01,3709
471470807.02,4462
471490401.01,5390
471490401.02,4560
471490401.04,6417
471490401.05,4918
471490401.06,5009
471490401.07,5599
471490402.0,4341
471490403.03,2776
471490403.04,3250
471490403.05,3423
471490403.07,3948
471490403.08,8057
471490403.09,7095
471490403.1,5383
471490403.11,3834
471490403.12,3875
471490404.04,3875
471490404.05,4282
471490405.01,11063
471490405.02,8906
471490406.0,5567
471490407.02,8618
471490407.03,12616
471490407.04,6282
471490408.06,12281
471490408.07,12585
471490408.08,16972
471490408.09,6570
471490408.1,3503
