County,2024 Population Age 60-64
"Bedford County, TN","3,340"
"Benton County, TN","1,331"
"Cannon County, TN","1,116"
"Cheatham County, TN","3,310"
"Coffee County, TN","4,182"
"Davidson County, TN","39,190"
"Decatur County, TN",902
"DeKalb County, TN","1,628"
"Dickson County, TN","4,004"
"Henry County, TN","2,566"
"Hickman County, TN","1,889"
"Houston County, TN",631
"Humphreys County, TN","1,407"
"Macon County, TN","1,733"
"Marshall County, TN","2,424"
"Maury County, TN","7,293"
"Montgomery County, TN","11,724"
"Perry County, TN",658
"Robertson County, TN","5,309"
"Rutherford County, TN","19,427"
"Smith County, TN","1,575"
"Stewart County, TN","1,137"
"Sumner County, TN","13,441"
"Trousdale County, TN",754
"Williamson County, TN","15,803"
"Wilson County, TN","10,776"
