GEOID,total_sales,median_price,median_SF
47015960100,6,370200.0,2018.0
47015960201,7,280000.0,1248.0
47015960202,9,449000.0,1870.0
47015960300,22,359950.0,1676.0
47021070102,6,422499.5,1895.5
47021070103,2,512500.0,2245.0
47021070104,3,310000.0,2700.0
47021070201,33,465000.0,2036.0
47021070202,11,390000.0,1900.0
47021070203,42,429900.0,2310.5
47021070300,12,298450.0,1231.0
47021070401,4,434999.5,1660.0
47021070402,16,485000.0,2215.0
47037010103,5,550000.0,2832.0
47037010105,3,540000.0,2638.0
47037010106,38,408942.5,1903.0
47037010201,19,472375.0,2274.0
47037010202,2,620000.0,2687.0
47037010301,8,437450.0,1841.5
47037010302,7,319700.0,1275.0
47037010303,14,400000.0,1690.0
47037010401,5,460000.0,1895.0
47037010403,33,390200.0,1745.0
47037010404,7,395500.0,1519.0
47037010501,15,425000.0,1584.0
47037010502,15,389900.0,1589.0
47037010602,56,404700.0,1660.0
47037010701,14,393500.0,1350.0
47037010702,5,349000.0,1060.0
47037010802,1,156000.0,1360.0
47037010901,2,304479.0,2176.0
47037010903,31,390000.0,1550.0
47037010904,7,509900.0,2000.0
47037011001,40,489900.0,1756.5
47037011100,8,762450.0,2451.0
47037011200,18,706200.0,2162.0
47037011300,51,555000.0,1998.0
47037011400,61,700000.0,2319.0
47037011500,14,826950.0,2877.5
47037011600,64,865000.0,2653.0
47037011700,17,749900.0,3158.0
47037011800,7,1074900.0,3076.0
47037011900,6,782500.0,2441.0
47037012100,19,300000.0,2581.0
47037012200,9,1625000.0,3393.0
47037012600,4,950000.0,3015.0
47037012701,9,470000.0,2065.0
47037012702,17,1149000.0,2012.0
47037012801,51,572000.0,2070.0
47037012802,15,515000.0,1797.0
47037013001,7,678000.0,2438.0
47037013100,7,585000.0,1824.0
47037013201,30,752500.0,2581.0
47037013202,77,749900.0,2382.0
47037013300,79,755000.0,2488.0
47037013400,26,1748500.0,3619.5
47037013500,19,1347500.0,3296.0
47037013600,23,600000.0,2108.0
47037013701,31,599900.0,2385.0
47037013702,11,487000.0,1784.0
47037013800,11,575000.0,2107.0
47037013900,12,543400.0,1792.5
47037014200,2,775000.0,2159.0
47037014300,22,606500.0,2119.5
47037014400,8,722500.0,2385.0
47037015100,4,452000.0,1563.0
47037015200,4,659117.0,2528.5
47037015300,4,754950.0,2874.0
47037015401,3,399000.0,1750.0
47037015402,48,1360000.0,2382.0
47037015404,30,521500.0,1905.0
47037015405,7,495000.0,2202.0
47037015501,20,467903.0,1906.0
47037015609,12,544950.0,2667.0
47037015615,3,450000.0,2095.0
47037015618,3,409900.0,2150.0
47037015619,2,500000.0,2536.5
47037015620,3,485000.0,2400.0
47037015622,51,514760.0,2412.0
47037015623,19,519990.0,2525.0
47037015624,2,442500.0,1747.0
47037015625,4,494500.0,2013.5
47037015626,4,443250.0,2138.0
47037015628,8,366490.0,2296.0
47037015629,35,390990.0,1749.0
47037015630,24,437495.0,2068.0
47037015633,38,581772.5,2548.0
47037015634,128,415375.0,1927.0
47037015635,9,496870.0,2663.0
47037015636,3,364900.0,1444.0
47037015700,2,510000.0,1652.0
47037015805,1,570000.0,1400.0
47037016000,19,550000.0,2002.0
47037016100,18,836250.0,2345.0
47037016200,12,1399000.0,3547.0
47037016300,3,2450000.0,4921.0
47037016400,1,2800000.0,5319.0
47037016700,6,1027500.0,2438.0
47037016800,4,2700000.0,5228.0
47037016900,7,2133030.0,3210.0
47037017000,4,1774500.0,3388.5
47037017100,12,1550000.0,3675.0
47037017200,13,749977.0,2236.0
47037017300,17,625000.0,2216.0
47037017402,12,658197.0,2584.5
47037017500,21,717500.0,2283.0
47037017701,19,2275000.0,5112.0
47037017702,25,1850000.0,4735.0
47037017800,47,2125000.0,4680.0
47037017901,31,2000000.0,4523.0
47037017902,26,2975000.0,6042.5
47037018000,12,2450000.0,5683.5
47037018101,33,799000.0,2400.0
47037018102,8,3575000.0,6608.0
47037018201,27,2500000.0,5541.0
47037018203,8,2650500.0,5961.5
47037018204,1,524900.0,1748.0
47037018205,1,2900000.0,6348.0
47037018302,5,750000.0,3004.0
47037018303,20,504950.0,1797.0
47037018304,5,1250000.0,4137.0
47037018404,1,425000.0,1748.0
47037018405,1,105000.0,2094.0
47037018407,1,562900.0,3414.0
47037018408,1,1600000.0,4394.0
47037018410,3,534900.0,1992.0
47037018411,14,767450.0,2990.0
47037018500,10,3657776.0,5571.5
47037018601,9,3750000.0,5790.0
47037018602,25,4050000.0,6484.0
47037018700,21,3151500.0,6972.0
47037018801,3,1500000.0,4252.0
47037018803,9,1949000.0,4504.0
47037018804,1,2700000.0,4093.0
47037018901,1,825000.0,3417.0
47037018904,16,875000.0,2703.0
47037018905,2,724900.0,2456.0
47037019003,3,549900.0,2200.0
47037019004,11,526600.0,1926.0
47037019008,8,457000.0,1588.5
47037019105,3,749000.0,3000.0
47037019108,3,595000.0,2148.0
47037019109,5,435000.0,2304.0
47037019111,5,415000.0,1774.0
47037019116,14,886250.0,3039.0
47037019117,57,436265.0,2100.0
47037019119,91,559875.0,2207.0
47037019121,13,579990.0,2905.0
47037019200,13,1200000.0,3090.0
47037019401,9,1090000.0,2554.0
47037019402,5,765000.0,2255.0
47037019600,1,490800.0,1752.0
47043060100,9,390000.0,1728.0
47043060201,8,340000.0,1370.0
47043060202,19,329900.0,1336.0
47043060300,57,370000.0,1800.0
47043060401,13,400000.0,1969.0
47043060402,46,425995.0,2040.0
47043060501,35,396900.0,2023.0
47043060502,15,360000.0,1413.0
47043060601,17,359900.0,1723.0
47043060602,26,372950.0,1805.0
47043060700,40,336000.0,1322.0
47081950100,5,385000.0,1624.0
47081950201,16,347500.0,1398.0
47081950202,8,307450.0,1347.0
47081950301,2,1342500.0,1822.5
47081950302,2,579200.0,2088.0
47081950400,2,550000.0,3193.0
47081950500,2,185000.0,1110.0
47111970100,13,249900.0,1460.0
47111970200,32,310200.0,1699.0
47111970301,27,270000.0,1460.0
47111970302,21,307000.0,1554.0
47111970400,46,320950.0,1480.0
47119010100,3,950000.0,2109.0
47119010201,178,479684.5,2394.0
47119010203,96,657927.5,2289.5
47119010204,108,520897.0,2769.0
47119010205,19,477790.0,2250.0
47119010301,145,414000.0,1765.0
47119010302,13,642440.0,2508.0
47119010401,15,725000.0,2400.0
47119010402,16,375000.0,2009.5
47119010500,46,343000.0,1873.0
47119010600,35,484000.0,2300.0
47119010700,2,459950.0,3572.0
47119010801,36,387971.5,2253.5
47119010802,35,341886.0,1535.0
47119010900,4,407500.0,2025.0
47119011001,11,706451.0,2886.0
47119011003,1,635000.0,2395.0
47119011004,13,409900.0,1918.0
47119011101,9,493000.0,2588.0
47119011102,2,1024750.0,2451.5
47119011200,14,619950.0,2128.0
47147080101,24,536263.0,2421.0
47147080103,296,375592.5,1883.0
47147080104,48,400475.0,1939.0
47147080200,32,497500.0,2142.0
47147080301,16,285500.0,1416.0
47147080302,16,287000.0,1262.0
47147080401,11,284900.0,1224.0
47147080402,34,334900.0,1320.0
47147080500,37,375000.0,1890.0
47147080603,32,384900.0,2009.5
47147080604,3,486000.0,2148.0
47147080605,17,399999.0,1600.0
47147080606,13,484900.0,2095.0
47147080701,7,550000.0,2500.0
47147080702,16,746450.0,2630.0
47149040101,23,400000.0,1800.0
47149040102,71,444900.0,1851.0
47149040104,5,349900.0,1800.0
47149040105,20,480406.0,2462.0
47149040106,1,250000.0,1167.0
47149040200,39,1985470.0,1924.0
47149040303,1,480000.0,2419.0
47149040304,162,484337.5,2718.0
47149040305,2,329000.0,1500.0
47149040307,86,418762.5,1900.0
47149040308,72,468000.0,2541.0
47149040309,10,522450.0,2786.0
47149040310,16,503000.0,2832.5
47149040311,1,384700.0,1448.0
47149040312,5,643000.0,2690.0
47149040404,3,715000.0,3001.0
47149040405,6,489950.0,2426.5
47149040501,137,390400.0,2031.0
47149040502,59,594790.0,2947.0
47149040600,21,649900.0,2750.0
47149040702,121,415340.0,2106.0
47149040703,197,434770.0,2287.0
47149040704,125,373220.0,1829.0
47149040806,303,550000.0,2718.0
47149040807,402,539560.0,2688.0
47149040808,78,652450.0,2282.0
47149040809,209,513633.0,2466.0
47149040810,31,580000.0,3426.0
47149040811,164,499990.0,2537.0
47149040812,57,528400.0,2636.0
47149040901,69,513408.0,2310.0
47149040904,6,361400.0,1757.0
47149040906,5,515000.0,2418.0
47149040907,108,407213.5,1942.0
47149040908,10,442585.0,2282.0
47149040909,28,549752.5,2602.0
47149040910,25,553875.0,3067.0
47149040911,199,464290.0,2521.0
47149041000,91,549990.0,2713.0
47149041102,102,384950.0,1920.5
47149041103,14,342445.0,1997.5
47149041104,6,690000.0,3149.0
47149041201,25,395000.0,1779.0
47149041202,121,446900.0,2350.0
47149041301,7,654900.0,2273.0
47149041302,28,964950.0,3677.5
47149041401,3,389900.0,1922.0
47149041404,1,425000.0,1832.0
47149041405,1,250000.0,2637.0
47149041406,18,674000.0,3270.0
47149041407,2,629900.0,2925.5
47149041601,5,529900.0,2046.0
47149041602,1,590855.0,3365.0
47149041700,5,389900.0,1685.0
47149041800,7,419999.0,2374.0
47149041900,1,390000.0,1365.0
47149042000,1,1185000.0,4069.0
47149042101,3,385000.0,1436.0
47149042102,1,595900.0,2695.0
47149042200,33,459990.0,2011.0
47149042301,7,2380000.0,2002.0
47149042302,19,414740.0,2087.0
47159975000,11,339900.0,1697.0
47159975100,7,265000.0,1302.0
47159975200,39,385000.0,1723.0
47159975300,10,343000.0,1530.0
47159975400,16,361950.0,1747.0
47165020101,19,385000.0,1715.0
47165020102,10,300950.0,1498.5
47165020203,16,369900.0,1541.0
47165020204,19,354999.0,1395.0
47165020205,14,314950.0,1410.0
47165020206,3,135000.0,1518.0
47165020207,5,590000.0,3097.0
47165020208,6,505000.0,2140.5
47165020209,10,456100.0,2159.0
47165020300,26,312500.0,1230.0
47165020403,2,774950.0,2834.0
47165020404,23,665000.0,2659.0
47165020405,7,500000.0,2753.0
47165020406,26,527445.0,2648.5
47165020407,39,404162.0,2106.0
47165020501,63,489900.0,2480.0
47165020502,121,549385.0,2499.0
47165020503,44,429945.0,1796.0
47165020601,18,572950.0,2686.0
47165020602,10,612500.0,2877.0
47165020603,12,589888.5,2361.0
47165020700,24,364557.5,1687.5
47165020800,25,399873.0,1923.0
47165020901,3,540000.0,2700.0
47165020903,18,427450.0,2099.5
47165020904,4,516750.0,2381.0
47165020905,23,420000.0,2569.0
47165021002,3,639000.0,2825.0
47165021004,3,439000.0,2600.0
47165021005,14,695850.5,2957.0
47165021006,12,735700.0,3111.0
47165021007,105,640000.0,2816.0
47165021008,54,605046.0,2607.0
47165021009,6,614945.0,2794.5
47165021103,2,607500.0,3042.0
47165021104,2,110000.0,3314.5
47165021105,5,679900.0,2689.0
47165021107,2,1505475.0,3459.5
47165021201,12,800000.0,3443.0
47165021203,31,1015000.0,3791.0
47165021204,2,771000.0,2637.0
47165021205,34,480595.0,2291.5
47169090100,42,401500.0,1891.5
47169090200,31,339000.0,1600.0
47187050102,106,872500.0,3311.5
47187050103,170,1031250.0,3876.0
47187050104,18,1397950.0,4107.0
47187050105,42,1544396.0,4594.0
47187050204,3,1700000.0,4382.0
47187050205,15,2500000.0,6306.0
47187050206,23,3700325.0,6905.0
47187050207,14,1990295.5,4834.0
47187050209,2,2198750.0,6297.0
47187050210,20,1384700.0,3861.5
47187050211,2,919000.0,2819.5
47187050303,3,3000000.0,5574.0
47187050304,3,5063110.0,8024.0
47187050305,2,9170622.5,9198.0
47187050306,5,4516148.0,8193.0
47187050403,3,1575000.0,3951.0
47187050404,2,3300762.0,5969.0
47187050405,49,1400000.0,3656.0
47187050406,9,1499900.0,4373.0
47187050502,32,737778.0,3019.0
47187050503,61,632070.0,2603.0
47187050504,26,442309.5,2073.0
47187050601,9,1014575.0,3894.0
47187050604,87,1246722.0,2855.0
47187050702,6,2344554.5,4671.5
47187050801,33,1005840.0,3838.0
47187050802,5,2425000.0,4506.0
47187050905,1,565000.0,2072.0
47187050908,11,1235000.0,3695.0
47187050909,44,825640.0,2749.0
47187051001,12,2068741.5,4436.5
47187051002,93,1122440.0,3794.0
47187051100,132,2093750.0,4650.0
47187051203,61,1903000.0,1720.0
47187051204,77,801280.0,3001.0
47187051205,137,737000.0,3116.0
47187051206,3,494000.0,2114.0
47187051207,24,495010.0,2361.0
47187051208,31,925000.0,3534.0
47189030102,108,379750.0,1821.0
47189030103,20,769900.0,3025.0
47189030104,22,707400.0,3194.5
47189030105,44,484990.0,2641.0
47189030202,289,541201.0,2514.0
47189030203,23,645000.0,2617.0
47189030205,16,1145000.0,4125.5
47189030206,66,459825.5,2166.0
47189030207,6,672450.0,2949.5
47189030303,5,950000.0,2897.0
47189030304,33,653090.0,2884.0
47189030308,2,734450.0,3313.0
47189030309,46,704950.0,2596.0
47189030310,25,711000.0,2977.0
47189030311,68,587250.0,2586.5
47189030401,1,373000.0,1655.0
47189030402,2,322000.0,1430.0
47189030500,73,396000.0,1929.0
47189030600,6,302500.0,1056.0
47189030700,15,367000.0,2083.0
47189030800,5,648105.0,2615.0
47189030904,21,614990.0,2615.0
47189030905,68,502990.0,2377.0
47189030906,19,1174900.0,3766.0
47189030907,69,489990.0,2448.0
47189030908,103,669990.0,3282.0
47189031000,29,575000.0,2595.0
