county_name,FIPS,population,date,Permits,month_year,permit_ratio
Cannon,47015,15063,2023-10-01,12.0,Oct 2023,7.966540529774945
Cannon,47015,15063,2023-11-01,8.0,Nov 2023,5.311027019849964
Cannon,47015,15063,2023-12-01,8.0,Dec 2023,5.311027019849964
Cannon,47015,15063,2024-01-01,16.0,Jan 2024,10.622054039699927
Cannon,47015,15063,2024-02-01,4.0,Feb 2024,2.655513509924982
Cannon,47015,15063,2024-03-01,21.0,Mar 2024,13.941445927106153
Cannon,47015,15063,2024-04-01,19.0,Apr 2024,12.613689172143664
Cannon,47015,15063,2024-05-01,10.0,May 2024,6.638783774812454
Cannon,47015,15063,2024-06-01,28.0,Jun 2024,18.58859456947487
Cannon,47015,15063,2024-07-01,6.0,Jul 2024,3.9832702648874725
Cannon,47015,15063,2024-08-01,20.0,Aug 2024,13.277567549624909
Cannon,47015,15063,2024-09-01,11.0,Sep 2024,7.302662152293699
Cheatham,47021,42254,2023-10-01,10.0,Oct 2023,2.366639844748426
Cheatham,47021,42254,2023-11-01,16.0,Nov 2023,3.786623751597482
Cheatham,47021,42254,2023-12-01,16.0,Dec 2023,3.786623751597482
Cheatham,47021,42254,2024-01-01,19.0,Jan 2024,4.49661570502201
Cheatham,47021,42254,2024-02-01,17.0,Feb 2024,4.023287736072325
Cheatham,47021,42254,2024-03-01,41.0,Mar 2024,9.703223363468547
Cheatham,47021,42254,2024-04-01,21.0,Apr 2024,4.969943673971695
Cheatham,47021,42254,2024-05-01,34.0,May 2024,8.04657547214465
Cheatham,47021,42254,2024-06-01,26.0,Jun 2024,6.153263596345908
Cheatham,47021,42254,2024-07-01,29.0,Jul 2024,6.863255549770436
Cheatham,47021,42254,2024-08-01,41.0,Aug 2024,9.703223363468547
Cheatham,47021,42254,2024-09-01,14.0,Sep 2024,3.3132957826477965
Davidson,47037,712334,2023-10-01,273.0,Oct 2023,3.8324718460722074
Davidson,47037,712334,2023-11-01,131.0,Nov 2023,1.8390249517782389
Davidson,47037,712334,2023-12-01,196.0,Dec 2023,2.751518248462098
Davidson,47037,712334,2024-01-01,240.0,Jan 2024,3.369206018525018
Davidson,47037,712334,2024-02-01,221.0,Feb 2024,3.1024772087251207
Davidson,47037,712334,2024-03-01,234.0,Mar 2024,3.2849758680618923
Davidson,47037,712334,2024-04-01,291.0,Apr 2024,4.085162297461584
Davidson,47037,712334,2024-05-01,252.0,May 2024,3.5376663194512687
Davidson,47037,712334,2024-06-01,204.0,Jun 2024,2.8638251157462653
Davidson,47037,712334,2024-07-01,248.0,Jul 2024,3.481512885809185
Davidson,47037,712334,2024-08-01,274.0,Aug 2024,3.846510204482729
Davidson,47037,712334,2024-09-01,182.0,Sep 2024,2.554981230714805
Dickson,47043,56729,2023-10-01,48.0,Oct 2023,8.461280826385094
Dickson,47043,56729,2023-11-01,19.0,Nov 2023,3.349256993777433
Dickson,47043,56729,2023-12-01,30.0,Dec 2023,5.288300516490684
Dickson,47043,56729,2024-01-01,28.0,Jan 2024,4.935747148724638
Dickson,47043,56729,2024-02-01,18.0,Feb 2024,3.1729803098944105
Dickson,47043,56729,2024-03-01,42.0,Mar 2024,7.4036207230869575
Dickson,47043,56729,2024-04-01,56.0,Apr 2024,9.871494297449276
Dickson,47043,56729,2024-05-01,35.0,May 2024,6.169683935905798
Dickson,47043,56729,2024-06-01,17.0,Jun 2024,2.9967036260113877
Dickson,47043,56729,2024-07-01,20.0,Jul 2024,3.5255336776604556
Dickson,47043,56729,2024-08-01,26.0,Aug 2024,4.5831937809585925
Dickson,47043,56729,2024-09-01,39.0,Sep 2024,6.874790671437888
Hickman,47081,25826,2023-10-01,10.0,Oct 2023,3.872066909316193
Hickman,47081,25826,2023-11-01,10.0,Nov 2023,3.872066909316193
Hickman,47081,25826,2023-12-01,7.0,Dec 2023,2.710446836521335
Hickman,47081,25826,2024-01-01,5.0,Jan 2024,1.9360334546580964
Hickman,47081,25826,2024-02-01,6.0,Feb 2024,2.3232401455897156
Hickman,47081,25826,2024-03-01,9.0,Mar 2024,3.484860218384574
Hickman,47081,25826,2024-04-01,12.0,Apr 2024,4.646480291179431
Hickman,47081,25826,2024-05-01,19.0,May 2024,7.356927127700767
Hickman,47081,25826,2024-06-01,11.0,Jun 2024,4.259273600247813
Hickman,47081,25826,2024-07-01,13.0,Jul 2024,5.033686982111051
Hickman,47081,25826,2024-08-01,11.0,Aug 2024,4.259273600247813
Hickman,47081,25826,2024-09-01,9.0,Sep 2024,3.484860218384574
Macon,47111,26793,2023-10-01,7.0,Oct 2023,2.6126226999589446
Macon,47111,26793,2023-11-01,6.0,Nov 2023,2.239390885679095
Macon,47111,26793,2023-12-01,5.0,Dec 2023,1.866159071399246
Macon,47111,26793,2024-01-01,8.0,Jan 2024,2.9858545142387936
Macon,47111,26793,2024-02-01,20.0,Feb 2024,7.464636285596984
Macon,47111,26793,2024-03-01,15.0,Mar 2024,5.598477214197738
Macon,47111,26793,2024-04-01,16.0,Apr 2024,5.971709028477587
Macon,47111,26793,2024-05-01,17.0,May 2024,6.344940842757437
Macon,47111,26793,2024-06-01,15.0,Jun 2024,5.598477214197738
Macon,47111,26793,2024-07-01,15.0,Jul 2024,5.598477214197738
Macon,47111,26793,2024-08-01,15.0,Aug 2024,5.598477214197738
Macon,47111,26793,2024-09-01,13.0,Sep 2024,4.85201358563804
Maury,47119,110760,2023-10-01,165.0,Oct 2023,14.897074756229685
Maury,47119,110760,2023-11-01,88.0,Nov 2023,7.945106536655833
Maury,47119,110760,2023-12-01,129.0,Dec 2023,11.646803900325027
Maury,47119,110760,2024-01-01,166.0,Jan 2024,14.987360057782592
Maury,47119,110760,2024-02-01,189.0,Feb 2024,17.06392199349946
Maury,47119,110760,2024-03-01,181.0,Mar 2024,16.3416395810762
Maury,47119,110760,2024-04-01,145.0,Apr 2024,13.091368725171543
Maury,47119,110760,2024-05-01,150.0,May 2024,13.542795232936077
Maury,47119,110760,2024-06-01,118.0,Jun 2024,10.653665583243049
Maury,47119,110760,2024-07-01,116.0,Jul 2024,10.473094980137233
Maury,47119,110760,2024-08-01,99.0,Aug 2024,8.938244853737812
Maury,47119,110760,2024-09-01,101.0,Sep 2024,9.118815456843626
Robertson,47147,76776,2023-10-01,65.0,Oct 2023,8.466187350213609
Robertson,47147,76776,2023-11-01,60.0,Nov 2023,7.814942169427947
Robertson,47147,76776,2023-12-01,50.0,Dec 2023,6.512451807856622
Robertson,47147,76776,2024-01-01,90.0,Jan 2024,11.72241325414192
Robertson,47147,76776,2024-02-01,100.0,Feb 2024,13.024903615713244
Robertson,47147,76776,2024-03-01,98.0,Mar 2024,12.76440554339898
Robertson,47147,76776,2024-04-01,93.0,Apr 2024,12.113160362613316
Robertson,47147,76776,2024-05-01,118.0,May 2024,15.369386266541627
Robertson,47147,76776,2024-06-01,74.0,Jun 2024,9.6384286756278
Robertson,47147,76776,2024-07-01,85.0,Jul 2024,11.071168073356256
Robertson,47147,76776,2024-08-01,66.0,Aug 2024,8.59643638637074
Robertson,47147,76776,2024-09-01,59.0,Sep 2024,7.684693133270813
Rutherford,47149,367101,2023-10-01,202.0,Oct 2023,5.502572861419609
Rutherford,47149,367101,2023-11-01,185.0,Nov 2023,5.0394850463496415
Rutherford,47149,367101,2023-12-01,174.0,Dec 2023,4.7398399895396635
Rutherford,47149,367101,2024-01-01,198.0,Jan 2024,5.393611022579616
Rutherford,47149,367101,2024-02-01,258.0,Feb 2024,7.028038605179501
Rutherford,47149,367101,2024-03-01,261.0,Mar 2024,7.109759984309496
Rutherford,47149,367101,2024-04-01,275.0,Apr 2024,7.491126420249468
Rutherford,47149,367101,2024-05-01,323.0,May 2024,8.798668486329376
Rutherford,47149,367101,2024-06-01,266.0,Jun 2024,7.245962282859485
Rutherford,47149,367101,2024-07-01,301.0,Jul 2024,8.199378372709418
Rutherford,47149,367101,2024-08-01,270.0,Aug 2024,7.3549241216994785
Rutherford,47149,367101,2024-09-01,269.0,Sep 2024,7.32768366198948
Smith,47159,20538,2023-10-01,14.0,Oct 2023,6.81663258350375
Smith,47159,20538,2023-11-01,9.0,Nov 2023,4.382120946538125
Smith,47159,20538,2023-12-01,6.0,Dec 2023,2.9214139643587496
Smith,47159,20538,2024-01-01,12.0,Jan 2024,5.842827928717499
Smith,47159,20538,2024-02-01,13.0,Feb 2024,6.329730256110624
Smith,47159,20538,2024-03-01,11.0,Mar 2024,5.3559256013243735
Smith,47159,20538,2024-04-01,12.0,Apr 2024,5.842827928717499
Smith,47159,20538,2024-05-01,13.0,May 2024,6.329730256110624
Smith,47159,20538,2024-06-01,14.0,Jun 2024,6.81663258350375
Smith,47159,20538,2024-07-01,11.0,Jul 2024,5.3559256013243735
Smith,47159,20538,2024-08-01,5.0,Aug 2024,2.434511636965625
Smith,47159,20538,2024-09-01,9.0,Sep 2024,4.382120946538125
Sumner,47165,207994,2023-10-01,105.0,Oct 2023,5.048222544881102
Sumner,47165,207994,2023-11-01,146.0,Nov 2023,7.019433252882294
Sumner,47165,207994,2023-12-01,135.0,Dec 2023,6.49057184341856
Sumner,47165,207994,2024-01-01,163.0,Jan 2024,7.836764522053521
Sumner,47165,207994,2024-02-01,165.0,Feb 2024,7.932921141956018
Sumner,47165,207994,2024-03-01,117.0,Mar 2024,5.625162264296086
Sumner,47165,207994,2024-04-01,132.0,Apr 2024,6.346336913564814
Sumner,47165,207994,2024-05-01,161.0,May 2024,7.740607902151024
Sumner,47165,207994,2024-06-01,190.0,Jun 2024,9.134878890737234
Sumner,47165,207994,2024-07-01,119.0,Jul 2024,5.721318884198582
Sumner,47165,207994,2024-08-01,118.0,Aug 2024,5.673240574247334
Sumner,47165,207994,2024-09-01,138.0,Sep 2024,6.634806773272306
Trousdale,47169,12271,2023-10-01,11.0,Oct 2023,8.96422459457257
Trousdale,47169,12271,2023-11-01,4.0,Nov 2023,3.2597180343900254
Trousdale,47169,12271,2023-12-01,0.0,Dec 2023,0.0
Trousdale,47169,12271,2024-01-01,0.0,Jan 2024,0.0
Trousdale,47169,12271,2024-02-01,7.0,Feb 2024,5.704506560182544
Trousdale,47169,12271,2024-03-01,7.0,Mar 2024,5.704506560182544
Trousdale,47169,12271,2024-04-01,10.0,Apr 2024,8.149295085975062
Trousdale,47169,12271,2024-05-01,9.0,May 2024,7.3343655773775565
Trousdale,47169,12271,2024-06-01,8.0,Jun 2024,6.519436068780051
Trousdale,47169,12271,2024-07-01,9.0,Jul 2024,7.3343655773775565
Trousdale,47169,12271,2024-08-01,8.0,Aug 2024,6.519436068780051
Trousdale,47169,12271,2024-09-01,8.0,Sep 2024,6.519436068780051
Williamson,47187,264460,2023-10-01,137.0,Oct 2023,5.180367541405127
Williamson,47187,264460,2023-11-01,133.0,Nov 2023,5.029115934356803
Williamson,47187,264460,2023-12-01,123.0,Dec 2023,4.650986916735991
Williamson,47187,264460,2024-01-01,83.0,Jan 2024,3.1384708462527415
Williamson,47187,264460,2024-02-01,129.0,Feb 2024,4.877864327308478
Williamson,47187,264460,2024-03-01,123.0,Mar 2024,4.650986916735991
Williamson,47187,264460,2024-04-01,125.0,Apr 2024,4.726612720260153
Williamson,47187,264460,2024-05-01,130.0,May 2024,4.915677229070559
Williamson,47187,264460,2024-06-01,116.0,Jun 2024,4.386296604401422
Williamson,47187,264460,2024-07-01,118.0,Jul 2024,4.461922407925584
Williamson,47187,264460,2024-08-01,130.0,Aug 2024,4.915677229070559
Williamson,47187,264460,2024-09-01,118.0,Sep 2024,4.461922407925584
Wilson,47189,163674,2023-10-01,160.0,Oct 2023,9.775529406014394
Wilson,47189,163674,2023-11-01,156.0,Nov 2023,9.531141170864034
Wilson,47189,163674,2023-12-01,149.0,Dec 2023,9.103461759350905
Wilson,47189,163674,2024-01-01,108.0,Jan 2024,6.598482349059716
Wilson,47189,163674,2024-02-01,163.0,Feb 2024,9.958820582377164
Wilson,47189,163674,2024-03-01,76.0,Mar 2024,4.643376467856838
Wilson,47189,163674,2024-04-01,129.0,Apr 2024,7.881520583599105
Wilson,47189,163674,2024-05-01,203.0,May 2024,12.402702933880763
Wilson,47189,163674,2024-06-01,210.0,Jun 2024,12.830382345393891
Wilson,47189,163674,2024-07-01,227.0,Jul 2024,13.869032344782921
Wilson,47189,163674,2024-08-01,230.0,Aug 2024,14.052323521145693
Wilson,47189,163674,2024-09-01,154.0,Sep 2024,9.408947053288854
Metro,n/a,2102573,2023-10-01,1219.0,Oct 2023,5.797658392835825
Metro,n/a,2102573,2023-11-01,971.0,Nov 2023,4.618151189043139
Metro,n/a,2102573,2023-12-01,1028.0,Dec 2023,4.889247602818071
Metro,n/a,2102573,2024-01-01,1136.0,Jan 2024,5.402903965760047
Metro,n/a,2102573,2024-02-01,1310.0,Feb 2024,6.230461439388787
Metro,n/a,2102573,2024-03-01,1236.0,Mar 2024,5.878511709224839
Metro,n/a,2102573,2024-04-01,1336.0,Apr 2024,6.354119452689632
Metro,n/a,2102573,2024-05-01,1474.0,May 2024,7.010458138671048
Metro,n/a,2102573,2024-06-01,1297.0,Jun 2024,6.168632432738363
Metro,n/a,2102573,2024-07-01,1317.0,Jul 2024,6.263753981431322
