county_name,total_permits,population,permit_ratio
Cannon,163.0,15063,108.212175529443
Cheatham,284.0,42254,67.2125715908553
Davidson,2746.0,712334,38.54933219529041
Dickson,378.0,56729,66.6325865077826
Hickman,122.0,25826,47.239216293657556
Macon,152.0,26793,56.73123577053708
Maury,1647.0,110760,148.69989165763815
Robertson,958.0,76776,124.77857663853287
Rutherford,2982.0,367101,81.23105085521424
Smith,129.0,20538,62.81040023371312
Sumner,1689.0,207994,81.20426550765887
Trousdale,81.0,12271,66.00929019639801
Williamson,1465.0,264460,55.39590108144899
Wilson,1965.0,163674,120.05572051761428
