origin_FIPS,origin_county,destination_FIPS,destination_county,people_inflow,agi_inflow,agi_capita_inflow,year
47149,"Rutherford County, TN",47015,"Cannon County, TN",501,13421000,26788.423153692616,2018
47177,"Warren County, TN",47015,"Cannon County, TN",64,1238000,19343.75,2018
47037,"Davidson County, TN",47015,"Cannon County, TN",40,802000,20050.0,2018
47037,"Davidson County, TN",47021,"Cheatham County, TN",1179,34555000,29308.736217133162,2018
47125,"Montgomery County, TN",47021,"Cheatham County, TN",206,5116000,24834.95145631068,2018
47147,"Robertson County, TN",47021,"Cheatham County, TN",209,5231000,25028.708133971293,2018
47149,"Rutherford County, TN",47021,"Cheatham County, TN",126,2623000,20817.460317460318,2018
47043,"Dickson County, TN",47021,"Cheatham County, TN",118,2556000,21661.01694915254,2018
47165,"Sumner County, TN",47021,"Cheatham County, TN",118,3419000,28974.57627118644,2018
47187,"Williamson County, TN",47021,"Cheatham County, TN",120,4208000,35066.666666666664,2018
47189,"Wilson County, TN",47021,"Cheatham County, TN",45,1676000,37244.444444444445,2018
47149,"Rutherford County, TN",47037,"Davidson County, TN",3569,101083000,28322.499299523675,2018
47187,"Williamson County, TN",47037,"Davidson County, TN",3239,260568000,80447.05155912318,2018
47165,"Sumner County, TN",47037,"Davidson County, TN",2063,64072000,31057.682985942803,2018
47189,"Wilson County, TN",47037,"Davidson County, TN",1682,58029000,34500.0,2018
47157,"Shelby County, TN",47037,"Davidson County, TN",951,31887000,33529.96845425868,2018
47125,"Montgomery County, TN",47037,"Davidson County, TN",774,18308000,23653.74677002584,2018
17031,"Cook County, IL",47037,"Davidson County, TN",668,41214000,61697.60479041916,2018
06037,"Los Angeles County, CA",47037,"Davidson County, TN",604,35363000,58548.013245033115,2018
47147,"Robertson County, TN",47037,"Davidson County, TN",660,15062000,22821.21212121212,2018
47021,"Cheatham County, TN",47037,"Davidson County, TN",606,15150000,25000.0,2018
47093,"Knox County, TN",47037,"Davidson County, TN",472,22267000,47175.84745762712,2018
47065,"Hamilton County, TN",47037,"Davidson County, TN",393,14431000,36720.10178117048,2018
47119,"Maury County, TN",47037,"Davidson County, TN",449,11196000,24935.41202672606,2018
13121,"Fulton County, GA",47037,"Davidson County, TN",314,20149000,64168.789808917194,2018
48201,"Harris County, TX",47037,"Davidson County, TN",325,23269000,71596.92307692308,2018
48113,"Dallas County, TX",47037,"Davidson County, TN",306,20727000,67735.29411764706,2018
47043,"Dickson County, TN",47037,"Davidson County, TN",285,7310000,25649.122807017542,2018
01073,"Jefferson County, AL",47037,"Davidson County, TN",244,9659000,39586.065573770495,2018
36061,"New York County, NY",47037,"Davidson County, TN",231,22734000,98415.58441558441,2018
06073,"San Diego County, CA",47037,"Davidson County, TN",230,15119000,65734.78260869565,2018
04013,"Maricopa County, AZ",47037,"Davidson County, TN",270,14111000,52262.96296296296,2018
36047,"Kings County, NY",47037,"Davidson County, TN",233,12856000,55175.96566523605,2018
37119,"Mecklenburg County, NC",47037,"Davidson County, TN",228,12745000,55899.12280701754,2018
47113,"Madison County, TN",47037,"Davidson County, TN",246,5405000,21971.544715447155,2018
21111,"Jefferson County, KY",47037,"Davidson County, TN",215,19212000,89358.13953488372,2018
21227,"Warren County, KY",47037,"Davidson County, TN",196,5068000,25857.14285714286,2018
12095,"Orange County, FL",47037,"Davidson County, TN",204,7375000,36151.96078431373,2018
48453,"Travis County, TX",47037,"Davidson County, TN",206,8823000,42830.09708737864,2018
39049,"Franklin County, OH",47037,"Davidson County, TN",192,11949000,62234.375,2018
01089,"Madison County, AL",47037,"Davidson County, TN",181,6476000,35779.00552486188,2018
06059,"Orange County, CA",47037,"Davidson County, TN",184,9609000,52222.82608695652,2018
53033,"King County, WA",47037,"Davidson County, TN",174,7818000,44931.03448275862,2018
12057,"Hillsborough County, FL",47037,"Davidson County, TN",168,11218000,66773.80952380953,2018
13089,"DeKalb County, GA",47037,"Davidson County, TN",175,6411000,36634.28571428572,2018
18097,"Marion County, IN",47037,"Davidson County, TN",167,5351000,32041.91616766467,2018
37183,"Wake County, NC",47037,"Davidson County, TN",169,6896000,40804.73372781065,2018
47141,"Putnam County, TN",47037,"Davidson County, TN",147,4139000,28156.462585034013,2018
13067,"Cobb County, GA",47037,"Davidson County, TN",175,10169000,58108.57142857143,2018
11001,"District of Columbia, DC",47037,"Davidson County, TN",117,8508000,72717.94871794872,2018
12011,"Broward County, FL",47037,"Davidson County, TN",144,5544000,38500.0,2018
21067,"Fayette County, KY",47037,"Davidson County, TN",133,4611000,34669.172932330825,2018
12099,"Palm Beach County, FL",47037,"Davidson County, TN",139,9974000,71755.39568345324,2018
32003,"Clark County, NV",47037,"Davidson County, TN",150,4513000,30086.666666666668,2018
25017,"Middlesex County, MA",47037,"Davidson County, TN",118,7147000,60567.79661016949,2018
26125,"Oakland County, MI",47037,"Davidson County, TN",123,8080000,65691.05691056911,2018
