year,FIPS,county_name,people_inflow,agi_inflow,agi_capita_inflow,people_outflow,agi_outflow,agi_capita_outflow,people_net,agi_net
2018,47015,"Cannon County, TN",909,21629000,23794.27942794279,764,15686000,20531.413612565444,145,5943000
2018,47187,"Williamson County, TN",19780,1159148000,58602.02224469161,14101,788870000,55944.25927239203,5679,370278000
2018,47169,"Trousdale County, TN",651,13203000,20281.10599078341,608,10821000,17797.697368421053,43,2382000
2018,47165,"Sumner County, TN",13181,396465000,30078.522115165768,10242,299666000,29258.543253270847,2939,96799000
2018,47159,"Smith County, TN",1154,25101000,21751.299826689778,974,19315000,19830.5954825462,180,5786000
2018,47149,"Rutherford County, TN",22369,535217000,23926.72895525057,18071,500433000,27692.60140556693,4298,34784000
2018,47147,"Robertson County, TN",4724,129372000,27386.113463166806,4262,104973000,24629.9859221023,462,24399000
2018,47189,"Wilson County, TN",11072,360420000,32552.384393063585,8054,252522000,31353.61311149739,3018,107898000
2018,47111,"Macon County, TN",1248,21457000,17193.108974358973,1016,15378000,15135.826771653545,232,6079000
2018,47081,"Hickman County, TN",1461,28407000,19443.5318275154,1158,22046000,19037.996545768565,303,6361000
2018,47043,"Dickson County, TN",3100,84349000,27209.35483870968,2444,53133000,21740.180032733224,656,31216000
2018,47037,"Davidson County, TN",42473,1850992000,43580.43933793233,51044,1767466000,34626.322388527544,-8571,83526000
2018,47021,"Cheatham County, TN",2857,82557000,28896.394819740988,2561,69308000,27062.86606794221,296,13249000
2018,47119,"Maury County, TN",7670,221548000,28885.006518904825,5851,149879000,25615.963083233637,1819,71669000
2019,47037,"Davidson County, TN",40176,1955813000,48681.12803663879,47259,1740008000,36818.553079836645,-7083,215805000
2019,47043,"Dickson County, TN",3041,75337000,24773.758632028937,2686,61864000,23032.017870439315,355,13473000
2019,47081,"Hickman County, TN",1447,29193000,20174.84450587422,1199,22713000,18943.28607172644,248,6480000
2019,47111,"Macon County, TN",1270,23930000,18842.51968503937,1071,16198000,15124.183006535948,199,7732000
2019,47147,"Robertson County, TN",4422,122324000,27662.596110357303,3987,103818000,26039.127163280664,435,18506000
2019,47165,"Sumner County, TN",13464,433986000,32233.06595365419,9919,281079000,28337.433208992843,3545,152907000
2019,47159,"Smith County, TN",1166,25758000,22090.909090909092,906,17231000,19018.763796909498,260,8527000
2019,47169,"Trousdale County, TN",729,16135000,22133.058984910836,548,10421000,19016.423357664233,181,5714000
2019,47187,"Williamson County, TN",19198,1103780000,57494.5306802792,13888,735471000,52957.30126728111,5310,368309000
2019,47189,"Wilson County, TN",10966,387535000,35339.68630311873,8115,274681000,33848.55206407887,2851,112854000
2019,47021,"Cheatham County, TN",2565,77876000,30361.01364522417,2376,65318000,27490.74074074074,189,12558000
2019,47149,"Rutherford County, TN",21632,560639000,25917.11353550296,18055,501899000,27798.338410412627,3577,58740000
2019,47015,"Cannon County, TN",863,18671000,21634.99420625724,682,14114000,20695.0146627566,181,4557000
2019,47119,"Maury County, TN",7420,251919000,33951.34770889488,5685,156354000,27502.902374670182,1735,95565000
2020,47119,"Maury County, TN",9194,290228000,31567.108984120077,6338,171461000,27052.85579047018,2856,118767000
2020,47159,"Smith County, TN",1387,29711000,21421.052631578947,1074,23592000,21966.480446927373,313,6119000
2020,47149,"Rutherford County, TN",24721,653838000,26448.687350835324,19795,539318000,27245.162919929277,4926,114520000
2020,47147,"Robertson County, TN",5096,135563000,26601.84458398744,4369,111962000,25626.45914396887,727,23601000
2020,47187,"Williamson County, TN",22373,1487689000,66494.83752737675,15564,890531000,57217.36057568748,6809,597158000
2020,47111,"Macon County, TN",1545,27883000,18047.24919093851,1180,18583000,15748.305084745763,365,9300000
2020,47081,"Hickman County, TN",1520,33201000,21842.763157894737,1303,24824000,19051.419800460477,217,8377000
