origin_FIPS,origin_county,destination_FIPS,destination_county,people_outflow,agi_outflow,agi_capita_outflow,year
47015,"Cannon County, TN",47149,"Rutherford County, TN",263,6373000,24231.9391634981,2022
47015,"Cannon County, TN",47177,"Warren County, TN",148,2619000,17695.945945945947,2022
47015,"Cannon County, TN",47041,"DeKalb County, TN",63,1098000,17428.571428571428,2022
47015,"Cannon County, TN",47031,"Coffee County, TN",55,1195000,21727.272727272728,2022
47021,"Cheatham County, TN",47037,"Davidson County, TN",485,15721000,32414.432989690722,2022
47021,"Cheatham County, TN",47125,"Montgomery County, TN",356,9467000,26592.696629213482,2022
47021,"Cheatham County, TN",47043,"Dickson County, TN",200,5692000,28460.0,2022
47021,"Cheatham County, TN",47147,"Robertson County, TN",184,5266000,28619.565217391304,2022
47021,"Cheatham County, TN",47165,"Sumner County, TN",102,2897000,28401.960784313724,2022
47021,"Cheatham County, TN",47149,"Rutherford County, TN",60,2090000,34833.333333333336,2022
47021,"Cheatham County, TN",47187,"Williamson County, TN",82,2427000,29597.560975609755,2022
47021,"Cheatham County, TN",47189,"Wilson County, TN",59,2310000,39152.542372881355,2022
47021,"Cheatham County, TN",47081,"Hickman County, TN",44,1073000,24386.363636363636,2022
47037,"Davidson County, TN",47149,"Rutherford County, TN",6491,178130000,27442.612848559544,2022
47037,"Davidson County, TN",47187,"Williamson County, TN",4438,384503000,86638.80126182965,2022
47037,"Davidson County, TN",47189,"Wilson County, TN",3794,159101000,41934.89720611492,2022
47037,"Davidson County, TN",47165,"Sumner County, TN",3482,138573000,39796.95577254451,2022
47037,"Davidson County, TN",47125,"Montgomery County, TN",2221,56816000,25581.269698334083,2022
47037,"Davidson County, TN",47147,"Robertson County, TN",1368,46209000,33778.508771929824,2022
47037,"Davidson County, TN",47021,"Cheatham County, TN",960,43481000,45292.708333333336,2022
47037,"Davidson County, TN",47119,"Maury County, TN",729,29668000,40696.84499314129,2022
47037,"Davidson County, TN",47157,"Shelby County, TN",675,23845000,35325.92592592593,2022
